count_Items,count_transactions,total_sales,avg_transaction
1,350756,2912897.98,8.3046
2,217881,2979894.24,13.6767
3,132399,2523930.45,19.063
4,81438,1969392.25,24.1827
5,50348,1460336.37,29.0048
6,32732,1102829.7,33.6927
7,21259,822236.86,38.6771
8,14400,617615.37,42.8899
9,9984,470980.94,47.1735
10,7084,364361.54,51.4344
11,5021,281637.31,56.0918
12,3808,228479.15,59.9997
13,2852,184143.26,64.5663
14,2147,144073.38,67.1045
15,1754,127181.92,72.5096
16,1296,99114.28,76.477
17,979,80981.8,82.7188
18,879,75641.76,86.0543
19,681,60410.1,88.7079
20,558,52994.35,94.9719
21,468,47059.76,100.555
22,399,41379.22,103.7073
23,349,39379.51,112.8352
24,283,33615.27,118.7818
25,255,30717.42,120.4604
26,216,26516.89,122.7633
27,193,24526.64,127.081
28,169,23726.67,140.3944
29,141,19532.49,138.5282
30,128,18522.79,144.7092
31,118,17782.6,150.7
32,99,17308.23,174.8306
33,78,12347.1,158.2961
34,80,13491.28,168.641
35,70,11061.05,158.015
36,53,9924.64,187.2573
37,60,11316.14,188.6023
38,59,9780.58,165.7725
39,53,9913.45,187.0462
40,39,7154.39,183.4458
41,59,10929.41,185.2442
42,34,8066.96,237.2635
43,32,6363.39,198.8559
44,26,5556.38,213.7069
45,25,6204.46,248.1784
46,25,8386.66,335.4664
47,24,6909.86,287.9108
48,28,9441.7,337.2035
49,14,4291.87,306.5621
50,14,4437.45,316.9607
51,20,5530.39,276.5195
52,16,3609.5,225.5937
53,14,4483.27,320.2335
54,19,6142.04,323.2652
55,14,3953.61,282.4007
56,15,6231.65,415.4433
57,6,1289.14,214.8566
58,15,3773.47,251.5646
59,9,3234.41,359.3788
60,10,3299.88,329.988
61,8,3055.85,381.9812
62,7,2041.23,291.6042
63,9,3708.58,412.0644
64,12,4338,361.5
65,7,2015.47,287.9242
66,6,1508.28,251.38
67,7,1741.98,248.8542
68,5,2022.88,404.576
69,5,2330.24,466.048
70,5,1933.83,386.766
71,4,1414.66,353.665
72,6,1546.69,257.7816
73,5,1345.97,269.194
74,5,1828.21,365.642
75,3,933.98,311.3266
76,8,3192.78,399.0975
77,3,2370.52,790.1733
78,4,1206.93,301.7325
79,4,1351.75,337.9375
80,2,481.67,240.835
81,2,443.34,221.67
82,4,1640.06,410.015
83,8,2582.92,322.865
84,2,994.25,497.125
85,3,995.62,331.8733
86,7,2636.97,376.71
87,5,1785.17,357.034
88,2,1590.77,795.385
89,5,2567.63,513.526
90,3,1965.43,655.1433
92,1,222,222
93,2,1675.41,837.705
94,4,1907.39,476.8475
95,2,1374.58,687.29
96,1,896.86,896.86
97,3,1303.15,434.3833
99,4,2342.35,585.5875
100,5,1555.8,311.16
101,2,1061.97,530.985
102,3,2187.81,729.27
103,1,291.38,291.38
104,2,1776.21,888.105
105,1,122.47,122.47
106,4,3483.46,870.865
108,2,1159.9,579.95
110,3,2826.68,942.2266
111,2,1652.78,826.39
112,1,744.09,744.09
116,2,621.09,310.545
117,1,248.3,248.3
118,2,1360.8,680.4
120,3,1941.53,647.1766
122,2,1293.75,646.875
126,1,332.25,332.25
130,2,2142.96,1071.48
132,1,1262.66,1262.66
134,1,560.89,560.89
135,2,1462.51,731.255
137,1,1017.22,1017.22
138,2,1315.22,657.61
139,1,1259.61,1259.61
142,1,2098.85,2098.85
143,2,2305.52,1152.76
147,1,280.35,280.35
148,1,424.52,424.52
158,2,2352.11,1176.055
170,1,920.17,920.17
191,1,437.89,437.89
200,1,532,532
259,1,1733.47,1733.47
264,1,603,603
413,1,2586.22,2586.22
460,1,2934.66,2934.66
577,1,3436.27,3436.27
613,1,5687.89,5687.89
